Month,Spend,Keyword
1/2/2023,"$23,272 ",black cocktail dresses
1/2/2023,"$16,479 ",black designer dresses
1/2/2023,"$24,978 ",cocktail & formal styles
1/2/2023,"$22,672 ",cocktail dresses
1/2/2023,"$26,524 ",cotton midi dress
1/2/2023,"$19,443 ",day dresses
1/2/2023,"$10,604 ",denim dresses
1/2/2023,"$28,196 ",designer beach dresses
1/2/2023,"$1,926 ",designer casual dresses for daywear
1/2/2023,"$16,869 ",designer cocktail dresses
1/2/2023,"$3,207 ",designer cotton dress
1/2/2023,"$16,405 ",designer dresses
1/2/2023,"$18,293 ",designer eveningwear
1/2/2023,"$3,115 ",designer floor length dresses
1/2/2023,"$12,944 ",designer formal dresses
1/2/2023,"$19,283 ",designer knitted dresses
1/2/2023,"$16,008 ",designer linen dress
1/2/2023,"$20,715 ",designer long sleeve dress
1/2/2023,"$28,291 ",designer midi dresses
1/2/2023,"$6,543 ",designer mini & midi party dress
1/2/2023,$252 ,designer mini dresses
1/2/2023,"$4,968 ",designer print dress
1/2/2023,"$21,274 ",designer resort wear
1/2/2023,"$11,197 ",designer short denim dress
1/2/2023,"$10,367 ",designer short sleeve dress
1/2/2023,"$10,651 ",designer silk dress
1/2/2023,"$5,395 ",designer sleeveless dress
1/2/2023,"$17,271 ",designer summer dresses
1/2/2023,"$23,748 ",designer wool dress
1/2/2023,"$2,101 ",evening dresses
1/2/2023,"$22,490 ",floral & summer maxi dress
1/2/2023,"$10,309 ",floral & summer midi dress
1/2/2023,"$29,809 ",floral & summer mini dress
1/2/2023,"$22,516 ",flowy maxi dresses
1/2/2023,"$8,590 ",flowy midi dresses
1/2/2023,"$21,281 ",flowy short dresses
1/2/2023,"$17,623 ",formal white gowns
1/2/2023,"$21,263 ",full length dress
1/2/2023,"$28,672 ",gowns & ball dresses
1/2/2023,"$18,023 ",implement canonical
1/2/2023,"$29,866 ",knit dresses
1/2/2023,"$29,490 ",linen midi dress
1/2/2023,"$5,887 ",long sleeve knitted dress
1/2/2023,"$25,217 ",long sleeve midi dress
1/2/2023,"$5,623 ",maxi cotton dress
1/2/2023,"$4,133 ",maxi linen dress
1/2/2023,"$22,559 ",maxi long sleeve dress
1/2/2023,"$24,261 ",maxi short sleeve dress
1/2/2023,"$25,546 ",maxi silk dress
1/2/2023,"$28,795 ",maxi sleeveless dress
1/2/2023,"$7,823 ",maxi wool dress
1/2/2023,"$28,178 ",mid length dresses
1/2/2023,"$4,621 ",party dresses
1/2/2023,"$26,646 ",patterned & floral dresses
1/2/2023,$352 ,resort wear dresses
1/2/2023,"$3,901 ",resort wear evening dresses
1/2/2023,$633 ,short dresses
1/2/2023,"$5,763 ",short sleeve knitted dress
1/2/2023,"$4,057 ",short sleeve midi dress
1/2/2023,"$24,956 ",silk midi dress
1/2/2023,"$20,044 ",sleeveless knitted dress
1/2/2023,"$10,874 ",sleeveless midi dress
1/2/2023,"$20,114 ",summer party dresses
1/2/2023,"$1,617 ",white designer dresses
1/2/2023,"$27,702 ",wool knitted dress
1/2/2023,"$27,573 ",wool midi dress
1/3/2023,"$19,992 ",beach cover ups
1/3/2023,"$23,198 ",black cocktail dresses
1/3/2023,"$22,352 ",black designer dresses
1/3/2023,"$25,569 ",cocktail & formal styles
1/3/2023,"$21,477 ",cocktail dresses
1/3/2023,"$8,027 ",cotton midi dress
1/3/2023,"$6,410 ",day dresses
1/3/2023,"$6,456 ",denim dresses
1/3/2023,"$2,895 ",designer beach dresses
1/3/2023,"$21,156 ",designer casual dresses for daywear
1/3/2023,"$5,956 ",designer cocktail dresses
1/3/2023,"$28,869 ",designer cotton dress
1/3/2023,"$29,935 ",designer dresses
1/3/2023,"$27,596 ",designer eveningwear
1/3/2023,"$25,248 ",designer floor length dresses
1/3/2023,"$29,694 ",designer formal dresses
1/3/2023,"$4,536 ",designer knitted dresses
1/3/2023,"$20,227 ",designer linen dress
1/3/2023,"$29,426 ",designer long sleeve dress
1/3/2023,"$14,270 ",designer midi dresses
1/3/2023,"$16,432 ",designer mini & midi party dress
1/3/2023,"$26,220 ",designer mini dresses
1/3/2023,"$19,302 ",designer print dress
1/3/2023,"$1,182 ",designer resort wear
1/3/2023,"$24,799 ",designer short denim dress
1/3/2023,"$3,936 ",designer short sleeve dress
1/3/2023,"$23,358 ",designer silk dress
1/3/2023,"$28,380 ",designer sleeveless dress
1/3/2023,"$10,514 ",designer summer dresses
1/3/2023,"$23,920 ",designer wool dress
1/3/2023,"$14,197 ",evening dresses
1/3/2023,"$16,903 ",floral & summer maxi dress
1/3/2023,"$28,288 ",floral & summer midi dress
1/3/2023,"$2,567 ",floral & summer mini dress
1/3/2023,"$29,782 ",flowy maxi dresses
1/3/2023,"$16,536 ",flowy midi dresses
1/3/2023,"$22,762 ",flowy short dresses
1/3/2023,"$5,569 ",formal white gowns
1/3/2023,"$3,801 ",full length dress
1/3/2023,"$24,072 ",gowns & ball dresses
1/3/2023,"$23,418 ",implement canonical
1/3/2023,"$10,104 ",knit dresses
1/3/2023,"$14,455 ",linen midi dress
1/3/2023,"$29,829 ",long sleeve knitted dress
1/3/2023,"$29,769 ",long sleeve midi dress
1/3/2023,"$20,097 ",maxi cotton dress
1/3/2023,"$16,836 ",maxi linen dress
1/3/2023,"$21,295 ",maxi long sleeve dress
1/3/2023,"$10,959 ",maxi short sleeve dress
1/3/2023,"$7,669 ",maxi silk dress
1/3/2023,"$20,930 ",maxi sleeveless dress
1/3/2023,"$14,583 ",maxi wool dress
1/3/2023,"$12,395 ",mid length dresses
1/3/2023,"$6,078 ",party dresses
1/3/2023,"$4,986 ",patterned & floral dresses
1/3/2023,"$24,525 ",resort wear dresses
1/3/2023,"$6,558 ",resort wear evening dresses
1/3/2023,"$25,138 ",short dresses
1/3/2023,"$2,748 ",short sleeve knitted dress
1/3/2023,"$2,867 ",short sleeve midi dress
1/3/2023,"$15,540 ",silk midi dress
1/3/2023,"$29,171 ",sleeveless knitted dress
1/3/2023,"$2,644 ",sleeveless midi dress
1/3/2023,"$21,123 ",summer party dresses
1/3/2023,"$19,203 ",white designer dresses
1/3/2023,$109 ,wool knitted dress
1/3/2023,"$27,634 ",wool midi dress
1/4/2023,$61 ,beach cover ups
1/4/2023,"$25,181 ",black cocktail dresses
1/4/2023,"$4,289 ",black designer dresses
1/4/2023,"$25,899 ",cocktail & formal styles
1/4/2023,"$21,837 ",cocktail dresses
1/4/2023,"$25,138 ",cotton midi dress
1/4/2023,"$10,910 ",day dresses
1/4/2023,"$25,053 ",denim dresses
1/4/2023,"$13,063 ",designer beach dresses
1/4/2023,"$5,910 ",designer casual dresses for daywear
1/4/2023,"$22,979 ",designer cocktail dresses
1/4/2023,"$25,883 ",designer cotton dress
1/4/2023,"$27,989 ",designer dresses
1/4/2023,"$14,219 ",designer eveningwear
1/4/2023,"$27,813 ",designer floor length dresses
1/4/2023,"$26,012 ",designer formal dresses
1/4/2023,"$10,166 ",designer knitted dresses
1/4/2023,"$29,732 ",designer linen dress
1/4/2023,"$13,908 ",designer long sleeve dress
1/4/2023,"$9,104 ",designer midi dresses
1/4/2023,"$8,688 ",designer mini & midi party dress
1/4/2023,"$13,196 ",designer mini dresses
1/4/2023,"$14,150 ",designer print dress
1/4/2023,"$21,446 ",designer resort wear
1/4/2023,"$1,188 ",designer short denim dress
1/4/2023,"$14,325 ",designer short sleeve dress
1/4/2023,"$21,894 ",designer silk dress
1/4/2023,"$24,871 ",designer sleeveless dress
1/4/2023,"$20,380 ",designer summer dresses
1/4/2023,"$27,919 ",designer wool dress
1/4/2023,"$16,507 ",evening dresses
1/4/2023,"$13,083 ",floral & summer maxi dress
1/4/2023,"$13,874 ",floral & summer midi dress
1/4/2023,"$6,568 ",floral & summer mini dress
1/4/2023,"$28,423 ",flowy maxi dresses
1/4/2023,"$27,429 ",flowy midi dresses
1/4/2023,"$8,500 ",flowy short dresses
1/4/2023,"$3,959 ",formal white gowns
1/4/2023,"$10,655 ",full length dress
1/4/2023,"$28,141 ",gowns & ball dresses
1/4/2023,"$20,153 ",implement canonical
1/4/2023,"$4,509 ",knit dresses
1/4/2023,"$14,061 ",linen midi dress
1/4/2023,"$17,936 ",long sleeve knitted dress
1/4/2023,"$8,594 ",long sleeve midi dress
1/4/2023,"$2,640 ",maxi cotton dress
1/4/2023,"$27,434 ",maxi linen dress
1/4/2023,"$26,724 ",maxi long sleeve dress
1/4/2023,"$23,295 ",maxi short sleeve dress
1/4/2023,"$28,570 ",maxi silk dress
1/4/2023,"$10,710 ",maxi sleeveless dress
1/4/2023,"$8,878 ",maxi wool dress
1/4/2023,"$1,655 ",mid length dresses
1/4/2023,"$16,961 ",party dresses
1/4/2023,"$10,236 ",patterned & floral dresses
1/4/2023,"$28,295 ",resort wear dresses
1/4/2023,"$14,524 ",resort wear evening dresses
1/4/2023,"$20,199 ",short dresses
1/4/2023,"$19,128 ",short sleeve knitted dress
1/4/2023,"$21,052 ",short sleeve midi dress
1/4/2023,"$6,018 ",silk midi dress
1/4/2023,"$29,422 ",sleeveless knitted dress
1/4/2023,"$3,291 ",sleeveless midi dress
1/4/2023,"$11,073 ",summer party dresses
1/4/2023,"$25,137 ",white designer dresses
1/4/2023,"$23,729 ",wool knitted dress
1/4/2023,"$4,636 ",wool midi dress
1/5/2023,$733 ,beach cover ups
1/5/2023,"$5,596 ",black cocktail dresses
1/5/2023,"$21,218 ",black designer dresses
1/5/2023,"$17,415 ",cocktail & formal styles
1/5/2023,"$15,748 ",cocktail dresses
1/5/2023,"$27,689 ",cotton midi dress
1/5/2023,"$4,672 ",day dresses
1/5/2023,"$11,465 ",denim dresses
1/5/2023,"$2,143 ",designer beach dresses
1/5/2023,"$11,779 ",designer casual dresses for daywear
1/5/2023,"$9,828 ",designer cocktail dresses
1/5/2023,"$7,419 ",designer cotton dress
1/5/2023,"$22,354 ",designer dresses
1/5/2023,"$17,297 ",designer eveningwear
1/5/2023,"$15,207 ",designer floor length dresses
1/5/2023,"$23,645 ",designer formal dresses
1/5/2023,"$27,830 ",designer knitted dresses
1/5/2023,"$23,780 ",designer linen dress
1/5/2023,"$19,456 ",designer long sleeve dress
1/5/2023,"$12,850 ",designer midi dresses
1/5/2023,"$16,686 ",designer mini & midi party dress
1/5/2023,"$11,618 ",designer mini dresses
1/5/2023,"$15,086 ",designer print dress
1/5/2023,"$17,880 ",designer resort wear
1/5/2023,"$7,085 ",designer short denim dress
1/5/2023,"$19,758 ",designer short sleeve dress
1/5/2023,"$16,337 ",designer silk dress
1/5/2023,"$11,235 ",designer sleeveless dress
1/5/2023,"$10,127 ",designer summer dresses
1/5/2023,"$15,558 ",designer wool dress
1/5/2023,"$13,708 ",evening dresses
1/5/2023,"$1,346 ",floral & summer maxi dress
1/5/2023,"$10,014 ",floral & summer midi dress
1/5/2023,"$28,500 ",floral & summer mini dress
1/5/2023,"$28,400 ",flowy maxi dresses
1/5/2023,$523 ,flowy midi dresses
1/5/2023,"$24,236 ",flowy short dresses
1/5/2023,"$4,254 ",formal white gowns
1/5/2023,"$6,617 ",full length dress
1/5/2023,"$14,822 ",gowns & ball dresses
1/5/2023,"$22,372 ",implement canonical
1/5/2023,"$8,978 ",knit dresses
1/5/2023,"$16,268 ",linen midi dress
1/5/2023,"$24,901 ",long sleeve knitted dress
1/5/2023,"$28,984 ",long sleeve midi dress
1/5/2023,"$15,412 ",maxi cotton dress
1/5/2023,"$27,137 ",maxi linen dress
1/5/2023,"$29,096 ",maxi long sleeve dress
1/5/2023,"$23,782 ",maxi short sleeve dress
1/5/2023,"$22,586 ",maxi silk dress
1/5/2023,$105 ,maxi sleeveless dress
1/5/2023,"$15,648 ",maxi wool dress
1/5/2023,"$10,992 ",mid length dresses
1/5/2023,"$29,515 ",party dresses
1/5/2023,"$11,411 ",patterned & floral dresses
1/5/2023,$78 ,resort wear dresses
1/5/2023,"$9,466 ",resort wear evening dresses
1/5/2023,"$20,355 ",short dresses
1/5/2023,"$24,280 ",short sleeve knitted dress
1/5/2023,"$16,239 ",short sleeve midi dress
1/5/2023,"$25,653 ",silk midi dress
1/5/2023,"$13,996 ",sleeveless knitted dress
1/5/2023,"$22,579 ",sleeveless midi dress
1/5/2023,"$25,553 ",summer party dresses
1/5/2023,"$23,088 ",white designer dresses
1/5/2023,"$14,960 ",wool knitted dress
1/5/2023,"$29,359 ",wool midi dress
1/6/2023,"$18,338 ",beach cover ups
1/6/2023,"$4,473 ",black cocktail dresses
1/6/2023,"$4,909 ",black designer dresses
1/6/2023,"$7,328 ",cocktail & formal styles
1/6/2023,"$13,969 ",cocktail dresses
1/6/2023,"$5,834 ",cotton midi dress
1/6/2023,"$4,815 ",day dresses
1/6/2023,"$8,411 ",denim dresses
1/6/2023,"$22,893 ",designer beach dresses
1/6/2023,"$26,552 ",designer casual dresses for daywear
1/6/2023,"$17,147 ",designer cocktail dresses
1/6/2023,"$5,576 ",designer cotton dress
1/6/2023,"$23,253 ",designer dresses
1/6/2023,"$24,352 ",designer eveningwear
1/6/2023,"$15,065 ",designer floor length dresses
1/6/2023,"$22,121 ",designer formal dresses
1/6/2023,"$18,003 ",designer knitted dresses
1/6/2023,$504 ,designer linen dress
1/6/2023,"$1,782 ",designer long sleeve dress
1/6/2023,"$1,505 ",designer midi dresses
1/6/2023,"$5,021 ",designer mini & midi party dress
1/6/2023,"$7,655 ",designer mini dresses
1/6/2023,"$27,781 ",designer print dress
1/6/2023,"$14,688 ",designer resort wear
1/6/2023,"$22,721 ",designer short denim dress
1/6/2023,"$20,758 ",designer short sleeve dress
1/6/2023,"$16,571 ",designer silk dress
1/6/2023,"$21,713 ",designer sleeveless dress
1/6/2023,"$7,155 ",designer summer dresses
1/6/2023,"$20,626 ",designer wool dress
1/6/2023,"$1,155 ",evening dresses
1/6/2023,"$10,032 ",floral & summer maxi dress
1/6/2023,"$23,500 ",floral & summer midi dress
1/6/2023,"$29,533 ",floral & summer mini dress
1/6/2023,"$3,168 ",flowy maxi dresses
1/6/2023,"$13,710 ",flowy midi dresses
1/6/2023,"$5,151 ",flowy short dresses
1/6/2023,"$9,211 ",formal white gowns
1/6/2023,"$5,021 ",full length dress
1/6/2023,"$15,271 ",gowns & ball dresses
1/6/2023,"$27,439 ",implement canonical
1/6/2023,"$3,414 ",knit dresses
1/6/2023,"$12,134 ",linen midi dress
1/6/2023,"$5,500 ",long sleeve knitted dress
1/6/2023,"$10,188 ",long sleeve midi dress
1/6/2023,"$29,955 ",maxi cotton dress
1/6/2023,"$27,466 ",maxi linen dress
1/6/2023,"$15,971 ",maxi long sleeve dress
1/6/2023,"$14,017 ",maxi short sleeve dress
1/6/2023,$868 ,maxi silk dress
1/6/2023,"$14,256 ",maxi sleeveless dress
1/6/2023,"$4,509 ",maxi wool dress
1/6/2023,"$29,328 ",mid length dresses
1/6/2023,"$3,957 ",party dresses
1/6/2023,"$4,880 ",patterned & floral dresses
1/6/2023,"$5,170 ",resort wear dresses
1/6/2023,"$24,504 ",resort wear evening dresses
1/6/2023,"$14,561 ",short dresses
1/6/2023,"$4,266 ",short sleeve knitted dress
1/6/2023,"$1,569 ",short sleeve midi dress
1/6/2023,$788 ,silk midi dress
1/6/2023,"$22,908 ",sleeveless knitted dress
1/6/2023,"$5,232 ",sleeveless midi dress
1/6/2023,"$25,661 ",summer party dresses
1/6/2023,"$5,703 ",white designer dresses
1/6/2023,"$29,865 ",wool knitted dress
1/6/2023,$488 ,wool midi dress
1/7/2023,"$3,238 ",beach cover ups
1/7/2023,"$14,727 ",black cocktail dresses
1/7/2023,"$22,274 ",black designer dresses
1/7/2023,"$21,856 ",cocktail & formal styles
1/7/2023,"$2,510 ",cocktail dresses
1/7/2023,"$22,240 ",cotton midi dress
1/7/2023,"$8,403 ",day dresses
1/7/2023,"$1,487 ",denim dresses
1/7/2023,"$23,169 ",designer beach dresses
1/7/2023,"$27,431 ",designer casual dresses for daywear
1/7/2023,"$14,297 ",designer cocktail dresses
1/7/2023,"$12,593 ",designer cotton dress
1/7/2023,"$20,345 ",designer dresses
1/7/2023,"$19,039 ",designer eveningwear
1/7/2023,"$3,016 ",designer floor length dresses
1/7/2023,"$28,262 ",designer formal dresses
1/7/2023,$776 ,designer knitted dresses
1/7/2023,"$24,390 ",designer linen dress
1/7/2023,"$10,891 ",designer long sleeve dress
1/7/2023,"$16,557 ",designer midi dresses
1/7/2023,"$27,347 ",designer mini & midi party dress
1/7/2023,"$3,204 ",designer mini dresses
1/7/2023,"$17,999 ",designer print dress
1/7/2023,"$28,043 ",designer resort wear
1/7/2023,"$12,965 ",designer short denim dress
1/7/2023,"$5,146 ",designer short sleeve dress
1/7/2023,"$4,068 ",designer silk dress
1/7/2023,"$8,350 ",designer sleeveless dress
1/7/2023,"$25,500 ",designer summer dresses
1/7/2023,"$21,953 ",designer wool dress
1/7/2023,"$15,994 ",evening dresses
1/7/2023,"$23,251 ",floral & summer maxi dress
1/7/2023,"$12,122 ",floral & summer midi dress
1/7/2023,"$10,362 ",floral & summer mini dress
1/7/2023,"$19,006 ",flowy maxi dresses
1/7/2023,"$27,026 ",flowy midi dresses
1/7/2023,"$14,040 ",flowy short dresses
1/7/2023,"$10,800 ",formal white gowns
1/7/2023,$388 ,full length dress
1/7/2023,"$26,663 ",gowns & ball dresses
1/7/2023,"$11,152 ",implement canonical
1/7/2023,"$29,042 ",knit dresses
1/7/2023,"$22,379 ",linen midi dress
1/7/2023,"$14,600 ",long sleeve knitted dress
1/7/2023,"$10,620 ",long sleeve midi dress
1/7/2023,"$13,673 ",maxi cotton dress
1/7/2023,"$19,607 ",maxi linen dress
1/7/2023,"$1,351 ",maxi long sleeve dress
1/7/2023,"$23,780 ",maxi short sleeve dress
1/7/2023,"$21,327 ",maxi silk dress
1/7/2023,"$16,063 ",maxi sleeveless dress
1/7/2023,"$6,426 ",maxi wool dress
1/7/2023,"$2,186 ",mid length dresses
1/7/2023,"$24,125 ",party dresses
1/7/2023,"$7,140 ",patterned & floral dresses
1/7/2023,"$1,438 ",resort wear dresses
1/7/2023,"$5,859 ",resort wear evening dresses
1/7/2023,"$29,803 ",short dresses
1/7/2023,"$23,846 ",short sleeve knitted dress
1/7/2023,"$3,230 ",short sleeve midi dress
1/7/2023,"$15,041 ",silk midi dress
1/7/2023,"$24,332 ",sleeveless knitted dress
1/7/2023,"$8,697 ",sleeveless midi dress
1/7/2023,"$7,237 ",summer party dresses
1/7/2023,"$20,949 ",white designer dresses
1/7/2023,"$29,737 ",wool knitted dress
1/7/2023,"$16,230 ",wool midi dress
1/8/2023,"$2,103 ",beach cover ups
1/8/2023,"$21,102 ",black cocktail dresses
1/8/2023,"$26,065 ",black designer dresses
1/8/2023,"$5,338 ",cocktail & formal styles
1/8/2023,"$25,812 ",cocktail dresses
1/8/2023,"$20,869 ",cotton midi dress
1/8/2023,"$16,192 ",day dresses
1/8/2023,"$5,986 ",denim dresses
1/8/2023,"$11,285 ",designer beach dresses
1/8/2023,"$4,831 ",designer casual dresses for daywear
1/8/2023,"$15,297 ",designer cocktail dresses
1/8/2023,"$18,960 ",designer cotton dress
1/8/2023,"$15,536 ",designer dresses
1/8/2023,"$19,513 ",designer eveningwear
1/8/2023,"$23,430 ",designer floor length dresses
1/8/2023,"$14,540 ",designer formal dresses
1/8/2023,"$1,000 ",designer knitted dresses
1/8/2023,"$12,855 ",designer linen dress
1/8/2023,"$9,635 ",designer long sleeve dress
1/8/2023,"$23,993 ",designer midi dresses
1/8/2023,"$10,684 ",designer mini & midi party dress
1/8/2023,"$5,633 ",designer mini dresses
1/8/2023,"$19,543 ",designer print dress
1/8/2023,"$6,826 ",designer resort wear
1/8/2023,"$20,198 ",designer short denim dress
1/8/2023,"$15,728 ",designer short sleeve dress
1/8/2023,"$25,263 ",designer silk dress
1/8/2023,"$6,694 ",designer sleeveless dress
1/8/2023,"$19,621 ",designer summer dresses
1/8/2023,"$27,845 ",designer wool dress
1/8/2023,"$16,744 ",evening dresses
1/8/2023,"$19,726 ",floral & summer maxi dress
1/8/2023,"$26,454 ",floral & summer midi dress
1/8/2023,"$18,867 ",floral & summer mini dress
1/8/2023,"$27,556 ",flowy maxi dresses
1/8/2023,"$10,881 ",flowy midi dresses
1/8/2023,"$27,643 ",flowy short dresses
1/8/2023,"$22,605 ",formal white gowns
1/8/2023,"$25,240 ",full length dress
1/8/2023,"$26,696 ",gowns & ball dresses
1/8/2023,"$3,886 ",implement canonical
1/8/2023,"$27,135 ",knit dresses
1/8/2023,"$7,070 ",linen midi dress
1/8/2023,"$16,489 ",long sleeve knitted dress
1/8/2023,"$23,021 ",long sleeve midi dress
1/8/2023,"$13,398 ",maxi cotton dress
1/8/2023,"$26,119 ",maxi linen dress
1/8/2023,"$18,723 ",maxi long sleeve dress
1/8/2023,"$21,349 ",maxi short sleeve dress
1/8/2023,"$15,054 ",maxi silk dress
1/8/2023,$69 ,maxi sleeveless dress
1/8/2023,"$14,818 ",maxi wool dress
1/8/2023,"$2,304 ",mid length dresses
1/8/2023,"$26,865 ",party dresses
1/8/2023,"$26,191 ",patterned & floral dresses
1/8/2023,"$9,199 ",resort wear dresses
1/8/2023,"$10,726 ",resort wear evening dresses
1/8/2023,"$2,169 ",short dresses
1/8/2023,$274 ,short sleeve knitted dress
1/8/2023,"$21,829 ",short sleeve midi dress
1/8/2023,"$8,444 ",silk midi dress
1/8/2023,"$9,126 ",sleeveless knitted dress
1/8/2023,"$25,193 ",sleeveless midi dress
1/8/2023,"$7,858 ",summer party dresses
1/8/2023,"$12,645 ",white designer dresses
1/8/2023,"$10,528 ",wool knitted dress
1/8/2023,"$16,012 ",wool midi dress
1/9/2023,"$18,361 ",beach cover ups
1/9/2023,"$22,775 ",black cocktail dresses
1/9/2023,"$3,052 ",black designer dresses
1/9/2023,"$3,302 ",cocktail & formal styles
1/9/2023,"$16,369 ",cocktail dresses
1/9/2023,"$24,377 ",cotton midi dress
1/9/2023,"$18,773 ",day dresses
1/9/2023,"$24,454 ",denim dresses
1/9/2023,"$23,640 ",designer beach dresses
1/9/2023,"$19,429 ",designer casual dresses for daywear
1/9/2023,"$14,687 ",designer cocktail dresses
1/9/2023,"$14,390 ",designer cotton dress
1/9/2023,"$15,719 ",designer dresses
1/9/2023,"$2,269 ",designer eveningwear
1/9/2023,"$4,860 ",designer floor length dresses
1/9/2023,"$2,108 ",designer formal dresses
1/9/2023,"$5,936 ",designer knitted dresses
1/9/2023,"$18,227 ",designer linen dress
1/9/2023,"$24,612 ",designer long sleeve dress
1/9/2023,"$27,931 ",designer midi dresses
1/9/2023,"$12,997 ",designer mini & midi party dress
1/9/2023,"$8,486 ",designer mini dresses
1/9/2023,"$26,863 ",designer print dress
1/9/2023,"$8,262 ",designer resort wear
1/9/2023,"$1,756 ",designer short denim dress
1/9/2023,"$9,599 ",designer short sleeve dress
1/9/2023,"$7,459 ",designer silk dress
1/9/2023,"$10,005 ",designer sleeveless dress
1/9/2023,"$12,696 ",designer summer dresses
1/9/2023,"$19,374 ",designer wool dress
1/9/2023,"$28,886 ",evening dresses
1/9/2023,"$5,529 ",floral & summer maxi dress
1/9/2023,"$12,405 ",floral & summer midi dress
1/9/2023,"$22,597 ",floral & summer mini dress
1/9/2023,"$10,331 ",flowy maxi dresses
1/9/2023,"$21,338 ",flowy midi dresses
1/9/2023,"$25,149 ",flowy short dresses
1/9/2023,$257 ,formal white gowns
1/9/2023,"$26,550 ",full length dress
1/9/2023,"$9,220 ",gowns & ball dresses
1/9/2023,"$4,324 ",implement canonical
1/9/2023,"$14,545 ",knit dresses
1/9/2023,"$18,367 ",linen midi dress
1/9/2023,"$27,771 ",long sleeve knitted dress
1/9/2023,"$22,216 ",long sleeve midi dress
1/9/2023,"$18,963 ",maxi cotton dress
1/9/2023,"$14,072 ",maxi linen dress
1/9/2023,"$24,672 ",maxi long sleeve dress
1/9/2023,"$17,045 ",maxi short sleeve dress
1/9/2023,"$18,393 ",maxi silk dress
1/9/2023,"$3,192 ",maxi sleeveless dress
1/9/2023,"$26,135 ",maxi wool dress
1/9/2023,"$27,850 ",mid length dresses
1/9/2023,"$27,885 ",party dresses
1/9/2023,"$22,405 ",patterned & floral dresses
1/9/2023,"$19,253 ",resort wear dresses
1/9/2023,$129 ,resort wear evening dresses
1/9/2023,"$1,316 ",short dresses
1/9/2023,"$17,504 ",short sleeve knitted dress
1/9/2023,"$15,923 ",short sleeve midi dress
1/9/2023,"$28,639 ",silk midi dress
1/9/2023,"$1,885 ",sleeveless knitted dress
1/9/2023,"$15,443 ",sleeveless midi dress
1/9/2023,"$3,198 ",summer party dresses
