01 May 2023 - 30 April 2024,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024
gowns & ball dresses,AUD,,,,,,,,,,,,,,,,,,,,,,,,
implement canonical,AUD,,,,,,,,,,,,,,,,,,,,,,,,
knit dresses,AUD,,2400,260%,-33%,High,99,0.48,1.51,,,,,6600,5400,4400,1900,1300,1300,1000,880,880,1000,1600,3600
linen midi dress,AUD,,3600,-47%,19%,High,98,0.44,1.26,,,,,1600,1600,2400,2900,5400,5400,6600,6600,5400,3600,3600,1900
long sleeve knitted dress,AUD,,6600,421%,-33%,High,100,0.54,1.92,,,,,18100,14800,9900,5400,2400,2400,1900,1600,1300,1900,4400,9900
long sleeve midi dress,AUD,,6600,175%,-18%,High,99,0.42,1.41,,,,,14800,9900,9900,8100,5400,5400,4400,2900,2900,3600,6600,9900
maxi cotton dress,AUD,,1300,-28%,50%,High,100,0.45,1.68,,,,,480,590,880,1000,1600,1600,1900,1900,1300,1000,1000,720
maxi linen dress,AUD,,4400,-34%,53%,High,100,0.44,1.23,,,,,1900,1900,2400,3600,5400,6600,6600,6600,5400,4400,4400,2900
maxi long sleeve dress,AUD,,880,120%,48%,High,99,0.5,1.65,,,,,1000,880,880,720,880,720,880,590,720,590,1000,1300
maxi short sleeve dress,AUD,,1300,-45%,49%,High,99,0.46,1.48,,,,,480,590,590,880,1600,1600,1900,1600,1600,1600,1300,880
maxi silk dress,AUD,,1600,0%,23%,High,99,0.45,1.51,,,,,1300,1300,1600,1600,1900,1900,1600,1000,1600,1600,1600,1600
maxi sleeveless dress,AUD,,390,-19%,53%,High,99,0.52,1.86,,,,,170,210,210,390,590,480,480,590,390,320,320,260
maxi wool dress,AUD,,50,350%,29%,High,100,0.61,3.87,,,,,110,140,70,30,50,50,20,20,10,20,50,90
mid length dresses,AUD,,480,-34%,22%,High,94,0.49,1.31,,,,,390,320,320,590,720,720,590,590,590,590,590,390
party dresses,AUD,,22200,-18%,-18%,High,100,0.4,1.42,,,,,18100,18100,18100,22200,22200,27100,33100,22200,18100,18100,14800,14800
patterned & floral dresses,AUD,,,,,,,,,,,,,,,,,,,,,,,,
resort wear dresses,AUD,,320,0%,52%,High,100,0.64,2.39,,,,,170,260,320,260,320,390,390,320,390,320,320,320
resort wear evening dresses,AUD,,10,-100%,0%,,,,,,,,,0,0,0,0,0,10,10,10,0,10,10,0
short dresses,AUD,,3600,-19%,0%,High,99,0.41,1.52,,,,,2900,2900,3600,3600,4400,5400,5400,4400,3600,3600,3600,2900
short sleeve knitted dress,AUD,,390,84%,84%,High,100,0.57,2.17,,,,,320,320,390,390,590,390,390,320,260,320,480,590
short sleeve midi dress,AUD,,1600,-47%,14%,High,98,0.4,1.57,,,,,590,590,880,1300,2400,2900,2400,2400,1900,1900,1600,1000
silk midi dress,AUD,,880,-18%,-28%,High,97,0.36,1.06,,,,,880,880,880,1000,1000,1300,1000,880,880,880,880,720
sleeveless knitted dress,AUD,,320,88%,-33%,High,99,0.39,1.56,,,,,590,480,480,320,320,320,260,170,210,170,320,320
sleeveless midi dress,AUD,,390,-33%,23%,High,100,0.52,1.63,,,,,140,170,210,320,480,590,590,720,720,480,390,320
summer party dresses,AUD,,590,-77%,-18%,High,100,0.5,1.68,,,,,140,170,260,320,590,1000,1600,880,590,390,170,90
white designer dresses,AUD,,1000,0%,0%,High,100,0.49,1.43,,,,,880,880,1000,1000,1000,1600,1000,880,1000,1000,1000,1000
wool knitted dress,AUD,,260,743%,0%,High,99,0.57,2.46,,,,,720,590,390,170,70,70,110,90,90,70,170,590
wool midi dress,AUD,,50,200%,-18%,High,100,0.91,1.82,,,,,210,90,70,50,20,20,10,20,30,30,40,90
