key,value
Diazepam prodes 10mg and Rivotril pills usa to usa,['Diazepam']
Best Quality Diazepam prodes 10mg and Rivotril pills,['Diazepam']
High Quality Diazepam 10mg and Rivotril pills uk to uk,['Diazepam']
Grade AA ++ Diazepam 10mg and Rivotril pills USA USA,['Diazepam']
1 bottle of codeine lean | 60mg Morphine | 100ml | Self-brewed,['Morphine']
Promethazine + Codeine Phosphate Syrup 100ml,['Codeine Phosphate']
"CODAMOL, 30mg Codeine and 500mg Paracetamol per Tablet, 16 Tablets.",['Codeine']
"GENOTROPIN QUICKPEN *hgh* 12mg (36 i.u.), Pfizer, Belgium",['SOMATROPIN']
14g new 4-MMC (Dipentylone crystal) SHIPPING AUS-AUS ONLY,[]
7g new 4-MMC 4mmc Dipentylone(MDMA IMITATION) AUS-AUS SHIPPING ONLY,[]
7g new 4-MMC 4MMC Dipentylone SHIPPING USA-USA ONLY,['4-MMC']
Black Tar Heroin Fent Free 1 Gram BTH FF - IN STOCK,['Heroin']
Tuci-Tucibi-2CB-Pink cocaine,[]
3MMC MEPHEDRONE,['Mephedrone']
4mg Xanax v2090 (x20 with bulk pricing available) Bromazolam pressed bars Same Day Ship (FE),['Xanax']
Promethazine + Codeine Solution 100ml,['Promethazine + Codeine']
5-MeO-DMT Freebase ☆ Pure ☆ God molecule ☆ Bufo 5meo 5meodmt toad DMT,['5-MeO-DMT']
HGH Human Growth Hormone (Somatropin) 100 iu vial,['HGH']
Promethazine + Codeine Solution 100ml x 3 bottles,['Promethazine + Codeine']
royale 450mg (generic soma + nucynta) 50 tablets,['Nucynta']
royale 225mg (generic soma + nucynta) 50 tablets,['Soma']
Isotonitazene press oxycodone A215 30s,['Oxycodone']
30s A215  Isotonitazene Oxycodone presses,['Oxycodone']
Nebido (testosterone undecanoate) – 250mg/ml/ 4ml – Bayer – expires 01/2027 (shipped from Spain),['Testosterone']
1KG-EUTYLONE (KU) CRYSTALS Analogue of MDMA (Shipping from CHINA),[]
50-300 DEXEDRINE 10mg capsules spansules slow release pills dex dexys amphetamine a.d.d ADHD,['DEXEDRINE']
Tapentadol and Carisoprodol – 10 tb/225 mg – exp. 02/2025 (shipped from Spain),['TAPENTADOL']
3-MMC Mephedrone Original,['3-MMC']
Codemol-30 x100 codeine phosphate and ,['CODEINE PHOSPHATE']
PROMETHAZINE WITH CODEINE ORAL SOLUTION (100 ML) SHIPPING US TO US ONLY,['CODEINE']
"| 5g-25g Bromazolam Powder Alprazolam ""xanax"" analogue | #USA-USA or AUS-AUS SHIPPING ONLY#",['Bromazolam']
"| 5g-112g Protonitazene Powder (Pressed ""ROXY""M30 Powder) | #USA-USA or AUS-AUS SHIPPING ONLY#",['Protonitazene']
Phentermine 30mg 5-HTP 100mg 60 Capsules Compounding capsules . Best Weight loss Formula in WORLD,['Phentermine']
codapine Forte Codeine phosphate30mg+Paracetamol 500mg 40 Tablets Two Boxes Blister seal,['Codeine']
Phentermine 40mg 5-HTP 100mg 60 Capsules Compounding capsules . Best Weight loss Formula IN WORLD,['Phentermine']
Dexedrine 5mg (min order size 100 pills) Dex Dexies Studdy Buddy Buddies 5s Speed,['Dexedrine']
Testosterone Undecanoate / Andriol 250mg/ml 10x1ml Driada Medical,['Testosterone Undecanoate']
"DNP ( 2,4-dinitrophenol ) + T3 100mg 50 capsule",['DNP']
▲ BENZOCAINE ▲ Cut you Cocaine with the best filler ▲ NEW VENDOR PROMO ▲ Nonsensia,['BENZOCAINE']
Psilocybin Mushrooms Powder (99%)! (4-HO-MET),['Psilocybin Mushrooms']
COLOMBIAN TUCIBI AKA PINK COCAINE/2CB,['2CB']
b 974 (Amphetamine and Dextroamphetamine 30 mg.),['Dextroamphetamine']
b 973 (Amphetamine and Dextroamphetamine 20 mg.),['Dextroamphetamine']
Testosterone Undecanoate / Andriol 250mg/ml 10ml Hilma Biocare,['Testosterone Undecanoate']
25 x dexedrine 10mg + 25 x dilaudid 8mg,['Dexedrine']
LUCY (TUSI) TUSI/TUSSI/TUCIBI/2C/2C-B/PINK COCAINE,['COCAINE']
AD30s Adderall 30mg pressed with meth zero fent.,['ADDERALL']
- 100pills oxycodone 30mg - usa/usa - zero fent,['OXYCODONE']
10000 Xanax X2 Bars 4mg NO FENT USA Domestic,['XANAX']
- 50x oxycodone 30mg - Fent free - free shipping !!!,['OXYCODONE']
14 grams Black Mamba AAA Indoor! Overstock Fire Sale!,['Black Mamba']
10 PACKS ♥COKE COLA ♥ CANNABIS EDIBLES THC 500mg ♥ UK,['Cannabis']
1 Ounce Black Mamba AAA Indoor! Overstock Fire Sale!,['Black Mamba']
Party Pack |    1G K  |    1  G Hash |  1G Speed |    UK-UK,"['K', 'Hash', 'Speed']"
Buy 30mg T189 Oxycodone Fent Free (us to us),['Oxycodone']
Buy M30 Blue Oxycodone. Fent Free (us to us),['Oxycodone']
M20 Blue Oxycodone. Fent Free Available (us to us),['Oxycodone']
M30 Blue Oxycodone. Fent Free Available (us to us),['Oxycodone']
Buy RP 30mg Oxycodone Fent Free (us to us),['Oxycodone']
Buy M20 Blue Oxycodone. Fent Free  (us to us),['Oxycodone']
30mg T189 Oxycodone Available Fent Free (us to us),['Oxycodone']
For sale << RP 30mg Oxycodone  Fent Free <<< (us to us),['Oxycodone']
RP 30mg Oxycodone Available Fent Free (us to us),['Oxycodone']
30mg T189 Oxycodone Fent Free available (us to us),['Oxycodone']
"(NEW VENDOR DEAL) (10 2mg xanax, 5 red devil 5mg xanax + 10 10mg diazepam) Only 20gbp! limited time.",[]
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 30MG - ELITE,['Adderall IR']
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 30MG - SANDOZ,['Adderall IR']
1 x ADDERALL XR (Amphetamine and Dextroamphetamine) 30MG - ELITE,['Adderall XR']
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 30MG - BARR/TEVA,['Adderall IR']
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 30MG - ALVOGEN,['Adderall IR']
Blue Magic Afghane Heroin Pure Fent Free and Tested!,['Heroin']
1kg // Crystal Meth / Tina (Ice) // WW UK USA AUS NZ // COKE COCAINE MDMA HASH ICE METH KET,['Crystal Meth']
1kg // Indian S-ISO Ketamine // WW UK USA AUS NZ // COKE COCAINE MDMA HASH ICE METH KET,['Ketamine']
1kg // Colombian Cocaine Sealed Bricks // WW UK USA AUS NZ // COKE COCAINE MDMA HASH ICE METH KET,['Cocaine']
1kg // Moroccan Blonde Hash // WW UK USA AUS NZ // COKE COCAINE MDMA HASH ICE METH KET,['Hash']
1kg // Dutch Champagne MDMA // WW UK USA AUS NZ // COKE COCAINE MDMA HASH ICE METH KET,['MDMA']
Codeine with Promethazine (Lean) 3.5oz / 100 ml / Purple Syrup,['Codeine']
SALE- ✅2X YOUR ORDER✅PURE No. 4 HEROIN 🔥 UNCUT🔥- FAST USPS 💯FENT FREE💯,['HEROIN']
"5-MeO-DMT Vape KIT ☆ Cart, Battery, Case ☆ Wizard's Staff ☆ Jaguar 5meo DMT",['5-MeO-DMT']
"""THE HOLY TRINITY"" (XANAX , SOMA , OXYCODONE)",['OXYCODONE']
TRAMAL 100mg/1ml 96ml SYROP (TRAMADOL TILIDIN),['Tramadol']
MEDIKINET 20mg (RITALIN ADDERALL VYVANSE ),['Ritalin']
"DHC CONTINUS 120mg (Dihydrocodeine ,codeine , lean)",['Dihydrocodeine']
PROMETHAZINE 25mg (codeine lean),['Codeine']
1G FENT FREE BLACK TAR HEROIN US-US,['Fentanyl']
2gr FENT FREE BLACK TAR HEROIN - usa -,['Fentanyl']
"FREE SAMPLE: 2 XANAX, 2 VALIUM, 2 TEMAZEPAM, 2X 300MG E-PILL",[]
DMT Vape Pen 1ML 1 Gram Rechargeable,['DMT']
GABAPENTIN 300mg (LYRICA),['Gabapentin']
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 20MG - BARR/TEVA,['Adderall']
No. 4 HEROIN MIX - FAST USPS - 💯 NO FENT 💯,['HEROIN']
1 x ADDERALL IR (Amphetamine and Dextroamphetamine) 30MG - MALLINCKRODT,['ADDERALL IR']
TRAMAL RET. 200mg (TRAMADOLI TRAMADOL TILIDIN),['TRAMADOL']
[0.25g - 1000g] Clean Party Fire Red XTC Powder Speed  (50%) + MDMA (30%),[]
7g COLUMBIAN COCAINE NO FENT DIRECT BRICK,['COCAINE']
FREE EXPRESS 100x ADDERALL V3.3 PHARMA GRADE 30mg IR RACEMIC SALT L-AMPHETAMINE UNIQUE,['ADDERALL']
FREE EXPRESS - 50X ADDERALL V3.3 PHARMA GRADE 30mg IR RACEMIC SALT L-AMPHETAMINE UNIQUE PHA Clone,['ADDERALL']
10 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['XANAX']
500 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['XANAX']
60 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.  Clone Clone,['XANAX']
2000 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['Xanax']
20 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['Xanax']
120 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['Xanax']
250 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['Xanax']
40 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.  Clone,['Xanax']
1000 2MG/5MG XANAX (ALPRAZOLAM-DIAZEPAM BLUE BAR SPECIAL.,['Xanax']
Dispensary Mushroom Gummies  sealead (Psilectin 4-AcO DMT) 8 pack of 500mg each 4 grams total,['DMT']
IMPORT METH BASED MDMA,['METH BASED MDMA']
Somatropin Yellow Top HGH 100iu w/o sterile water,['HGH']
"Tahviron  Blend of Testosterone Enanthate 200mg, Masterone Enthenate 150mg, Trenbolone Enthenate 150",[]
"Promastren Blend of Testosterone Prop, Masterone Prop, Trenbolone Prop 100mg each 300mg total per ml",['Testosterone Prop']
x10 Dilaudid M8 8mg Hydromorphone Fent free / free shipX,['Hydromorphone']
x25 Dilaudid M8 8mg Hydromorphone Fent Free / free shipX,['Hydromorphone']
x10 Percocet M523 10mg Fent Free / free shipX,['Oxycodeone']
50-100 DEXEDRINE 15mg capsules spansules slow release pills dex dexys amphetamine a.d.d ADHD  Clone,['Dexedrine']
Hybrid Cocaine and MDMA - 3-MMC 99 % pure (Methedrone),['3-MMC']
"1 mg Alprazolam    pharma grade pressed, uk-ww no track NO FENT, NO FUNNY BUSINESS!",['Alprazolam']
"2 mg Alprazolam slow release  pharma grade pressed, uk-ww no track NO FENT, NO FUNNY BUSINESS! Clone",['Alprazolam']
"2 mg Alprazolam  , xanax ,  pharma grade pressed, uk-ww no track NO FENT, NO FUNNY BUSINESS!",['Alprazolam']
"18mg 4aco-dmt Psilocybin Pills - Shroom Pills 10/10, highest quality.",['4aco-dmt']
4ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['Psilocybin']
18mg Psilocybin - 4aco-dmt AKA shroomz pills.,['Psilocybin']
Bromazolam - 5mg/ml 96% Alcohol Solution,['Bromazolam']
Flubromazepam - 5.55mg/ml 96% Alcohol Solution,['Flubromazepam']
50ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['Psilocybin']
40ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
6ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
8ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK Clone,['4-AcO-DMT']
30ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
20ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
2ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
100ML MUSHROOM DROPS!! Synthetic Shrooms 4-AcO-DMT UK,['4-AcO-DMT']
"MIX-MED (Trenbolone Acetate, Drostanolone Propionate, Testosterone Propionate: 225mg/ml - 10 ml)",['Trenbolone Acetate']
"COMBO-MED (Nandrolone decanoate, testosterone cypionate: 400 MG/ML - 10ml) BIONICHE PHARMA",['Nandrolone Decanoate']
GERIOSTIM AQUA PEN 100 IU (GENOTROPIN) – Human Growth Hormone (HGH)  Tiger Pharma,['Human Growth Hormone (HGH)']
25 X Dexedrine 10mg | 25 x Dilaudid 8mg,['Dexedrine']
"MEDIKINET 20mg (METHYLPHENIDAT) (Adderall, Ritalin, Vyvanse)",['Methylphenidat']
"TUCIBI-TUCI, 2C-B, Pink Cocaine. !PERFECT MIX!",[]
2 Gram High Purity Off White Tan Pure Heroin Powder Fent Free US To US  * Intro SALE *,['Heroin']
"ECA  Ephedrine , Caffeine , Aspirin",['Ephedrine']
1G  BTH Pure and fent free- Black tar heroin from mexico,['Heroin']
HEROIN 0.5G - FENT FREE - STRONG AS LION STAMP,['Heroin']
HEROIN 1G - FENT FREE - STRONG AS LION STAMP,['Heroin']
sankawic Medical Grade Rick Simpson Oil Syringes.,['Rick Simpson Oil']
2g Yocan Orbit N-N DMT Vape Pen w/ Juice,['DMT']
"Lean Muscle 3stage SET (Test.Propionate, Oxandrolone Drostanolone Enanth, Trenbolone Enanth, HGH)",['Trenbolone Enanth']
"Lean Muscle 1stage SET (Testosterone Propionate, Stanozol, Drostanolone Propionate)",['Testosterone Propionate']
"MASS 1stage SET (Methandienone / Methandon, Nandrolone Decanoate, Test.Enanthate, Anastrozole)",['Methandienone / Methandon']
"MASS 3stage SET (Nandrolone Decanoate, Test.Enanthate, Boldenone undec, Trenbolone Enanth, HGH)",['Trenbolone Enanth']
"MASS 2stage SET (Methandienone / Methandon, Nandrolone Decanoate, Test.Enanthate, Boldenone undecyle)",['Nandrolone Decanoate']
CalvinKlein 2/1 SET - Ketamine needles 97% + Cocaine 92%,['Ketamine']
100ml(3.4oz) Purple Lean Syrup DihydroCodeine(DHC) 200mg/Promethazine 125mg  Blueberry Flavour,['DihydroCodeine']
500ml(17oz) Purple Lean Syrup - DihydroCodeine(DHC 1000mg/Promethazine 625mg  Blueberry/Blackcurrant,['DihydroCodeine']
250ml(8.5oz) DihydroCodeine(DHC) 500mg/Promethazine 312mg  Strawberry Flavour - Red Syrup,['DihydroCodeine']
250ml(8.5oz) bottle Purple Lean Syrup  Codeine 500mg/Promethazine 312mg - Blueberry/Blackcurrant,['Codeine']
