,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
667,1-(3-Methylbenzyl)piperazine,1-(3-Methylbenzyl)piperazine,NPS,,Stimulant,,,,,,,1-(3-methylbenzyl)piperazine
665,1-(3-fluorophenyl)-1-(methylamino)propan-2-one,1-(3-fluorophenyl)-1-(methylamino)propan-2-one,NPS,,Stimulant,,,,,1-(3-fluorophenyl)-1-(methylamino)propan-2-one,,1-(3-fluorophenyl)-1-(methylamino)propan-2-one
668,1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one,1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one,NPS,,Stimulant,,,,,1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one,,1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one
669,1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one,1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one,NPS,,Stimulant,,,,,1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one,,1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one
674,1-Aminoindane,1-Aminoindane,NPS,,Stimulant,,,,,1-Aminoindane,,1-aminoindane
677,1-Benzyl-N-(quinolin-8-yl)-1H-indazole-3-carboxamide,1-Benzyl-N-(quinolin-8-yl)-1H-indazole-3-carboxamide,NPS,,Cannabinoid,,,,,1-Benzyl-N-(quinolin-8-yl)-1H-indazole-3-carboxamide,,1-benzyl-n-(quinolin-8-yl)-1h-indazole-3-carboxamide
678,1-Benzyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,1-Benzyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,NPS,synthetic,Cannabinoid,,,,,"(1-(5-fluoropentyl)-1H-indol-3-yl) (2,2,3,3-tetramethylcyclopropyl)methanone",,1-benzyl-n-(quinolin-8-yl)-1h-indole-3-carboxamide
680,1-Cyclohexyl-x-methoxybenzene,1-Cyclohexyl-x-methoxybenzene,NPS,,,,,,,,,1-cyclohexyl-x-methoxybenzene
679,1-Cyclohexylmethylindole,1-Cyclohexylmethylindole,NPS,NPS-related (building blocks),,,,,,1‐(cyclohexylmethyl)‐1H‐indole,,1-cyclohexylmethylindole
681,1-Me-3-BZP,1-Me-3-BZP,NPS,Piperazine derivates,Stimulant,,,,,3‐benzyl‐1‐methylpiperazine,,1-me-3-bzp
682,1-Methyl-4-phenyl-4-propionoxypiperidine,1-Methyl-4-phenyl-4-propionoxypiperidine,NPS,,Sedative - opioid,Desmethylprodine,,,,1-Methyl-4-phenyl-4-propionoxypiperidine,,1-methyl-4-phenyl-4-propionoxypiperidine
684,1-PEA,1-PEA,NPS,,Stimulant,,,,,1-Phenylethylamine,,1-pea
686,1-Pentyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,1-Pentyl-N-(quinolin-8-yl)-1H-indole-3-carboxamide,NPS,,,,,,,"N-[3-(2-methoxyethyl)-4,5-dimethyl-1,3-thiazol-2-ylidene]-2,2,3,3-tetramethylcyclopropane-carboxamide",,1-pentyl-n-(quinolin-8-yl)-1h-indole-3-carboxamide
685,1-Pentylindole,1-Pentylindole,NPS,NPS-related (building blocks),,,,,,1-pentyl-1H-indole,,1-pentylindole
688,1-Phenethyl-4-hydroxypiperidine,1-Phenethyl-4-hydroxypiperidine,NPS,,,,,,,1-(2-phenylethyl)piperidin-4-ol,,1-phenethyl-4-hydroxypiperidine
690,"1-Phenyl-1,2-propanedione-2-oxime","1-Phenyl-1,2-propanedione-2-oxime",NPS,,,,,,,"1-Phenyl-1,2-propanedione-2-oxime",,"1-phenyl-1,2-propanedione-2-oxime"
692,1-Phenyl-2-(piperidin-1-yl)butan-1-one,1-Phenyl-2-(piperidin-1-yl)butan-1-one,NPS,,,,,,,,,1-phenyl-2-(piperidin-1-yl)butan-1-one
693,1-Phenylpiperazine,1-Phenylpiperazine,NPS,,,,,,,1-Phenylpiperazine,,1-phenylpiperazine
671,1-[1-(2-fluorophenyl)propan-2-yl]pyrrolidine,1-[1-(2-fluorophenyl)propan-2-yl]pyrrolidine,NPS,,,,,,,1-[1-(2-fluorophenyl)propan-2-yl]pyrrolidine,,1-[1-(2-fluorophenyl)propan-2-yl]pyrrolidine
675,1-benzyl-2-methylpiperazine,1-benzyl-2-methylpiperazine,NPS,Piperazine derivates,Stimulant,,,,,1-benzyl-2-methylpiperazine,,1-benzyl-2-methylpiperazine
676,1-benzyl-N-(4-fluorophenyl)piperidin-4-amine,1-benzyl-N-(4-fluorophenyl)piperidin-4-amine,NPS,,,,,,,1-benzyl-N-(4-fluorophenyl)piperidin-4-amine,,1-benzyl-n-(4-fluorophenyl)piperidin-4-amine
689,1-phenethylpiperidin-4-ol,1-phenethylpiperidin-4-ol,NPS,,,,,,,1-phenethylpiperidin-4-ol,,1-phenethylpiperidin-4-ol
691,1-phenyl-1-propanamine,1-phenyl-1-propanamine,NPS,,,,,,,,,1-phenyl-1-propanamine
673,1-​(naphthalen-​1-​yl)-​2-​(pyrrolidin-​1-​yl)pentan-​1-​one,1-​(naphthalen-​1-​yl)-​2-​(pyrrolidin-​1-​yl)pentan-​1-​one,NPS,,,,,,,1-​(naphthalen-​1-​yl)-​2-​(pyrrolidin-​1-​yl)pentan-​1-​one,,1-​(naphthalen-​1-​yl)-​2-​(pyrrolidin-​1-​yl)pentan-​1-​one
672,12-Methoxyibogamin,12-Methoxyibogamin,NPS,,,,,,,12-Methoxyibogamin,,12-methoxyibogamin
683,1M-LSD,1M-LSD,NPS,,Hallucinogen/dissociative/psychedelic,1-methyl-LSD,,,,,,1m-lsd
687,1P-ETH-LAD,1p-eth-lad,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,1p-eth-lad
694,1P-LSD,1p-LSD,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,1p-lsd
758,2 CB,2C-B,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2 cb
810,2 FMA,2-fma,NPS,,Stimulant,,,,,,,2 fma
1609,2'OXO-PCE,eticyclidone,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2'oxo-pce
701,"2,3-DMMC","2,3-DMMC",NPS,Cathinones,Stimulant,,,,,"1-(2,3-dimethylphenyl)-2-(methylamino)propan-1-one",,"2,3-dmmc"
702,"2,3-MDMA","2,3-MDMA",NPS,,Stimulant,,,,,"2,3-Methylenedioxymethamphetamine",,"2,3-mdma"
703,"2,3-MDMC","2,3-MDMC",NPS,cathinones,Stimulant,,,,,"2,3-Methylenedioxymethcathinone",,"2,3-mdmc"
704,"2,3-Pentylone","2,3-Pentylone",NPS,,Stimulant,,,,,"2,3-Pentylone",,"2,3-pentylone"
705,"2,3-seco-fentanyl","2,3-seco-fentanyl",NPS,Opioids,Sedative - opioid,,,,,N-{4-[methyl(2-phenylethyl)amino]butan-2-yl}-N-phenylpropanamide,,"2,3-seco-fentanyl"
706,"2,4,5-TMMC","2,4,5-TMMC",NPS,,Stimulant,"2,4,5-Trimethylmethcathinone",,,,"2-methylamino-1-(2,4,5-trimethylphenyl)propan-1- one)",,"2,4,5-tmmc"
707,"2,4-DMA","2,4-DMA",NPS,,Stimulant,"2,4-Dimethoxyamphetamine",,,,"2,4-dimethoxy-alpha-methylbenzeneethanamine) (or 2,5-DMA (2,5- dimethoxy-alpha-methylbenzeneethanamine)",,"2,4-dma"
708,"2,4-DMEC","2,4-DMEC",NPS,,Stimulant,"2,4-Dimethylethcathinone",,,,"1-(2,4-dimethylphenyl)-2-(ethylamino)propan-1-one",,"2,4-dmec"
709,"2,4-DMMC","2,4-DMMC",NPS,,Stimulant,,,,,"1-(2,4-dimethylphenyl)-2-(methylamino)propan-1-one",,"2,4-dmmc"
710,"2,4-DMPPP","2,4-DMPPP",NPS,,Stimulant,,,,,"1-(2,4-dimethylphenyl)-2-pyrrolidin-1-yl-propan-1-one",,"2,4-dmppp"
695,"2-(1H-indol-3-yl)-N,N-dipropylacetamide","2-(1H-indol-3-yl)-N,N-dipropylacetamide",NPS,Indolalkylamines (fe tryptamines),,,,,,"2-(1H-indol-3-yl)-N,N-dipropylacetamide",,"2-(1h-indol-3-yl)-n,n-dipropylacetamide"
696,"2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethan-1-amine","2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethan-1-amine",NPS,,,"2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethanamine",,,,"2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethan-1-amine",,"2-(2,3-dimethoxyphenyl)-n-(3,4,5-trimethoxybenzyl)ethan-1-amine"
697,"2-(2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethan-1-amine","2-(2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethan-1-amine",NPS,,,,,,,"2-(2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethan-1-amine",,"2-(2,5-dimethoxyphenyl)-n-(2-methoxybenzyl)ethan-1-amine"
698,"2-(2-Bromo,5-methoxyphenyl)-2-(ethylamino)cyclohexanone","2-(2-Bromo,5-methoxyphenyl)-2-(ethylamino)cyclohexanone",NPS,,,,,,,"2-(2-Bromo,5-methoxyphenyl)-2-(ethylamino)cyclohexanone",,"2-(2-bromo,5-methoxyphenyl)-2-(ethylamino)cyclohexanone"
699,"2-(3,5-Dimethoxy-4-propoxyphenyl)ethanamine","2-(3,5-Dimethoxy-4-propoxyphenyl)ethanamine",NPS,,,,,,,"2-(3,5-Dimethoxy-4-propoxyphenyl)ethanamine",,"2-(3,5-dimethoxy-4-propoxyphenyl)ethanamine"
700,2-(4-fluorophenyl)piperazine,2-(4-fluorophenyl)piperazine,NPS,Piperazine derivates,Stimulant,,,,,2‐(4‐fluorophenyl)piperazine,,2-(4-fluorophenyl)piperazine
1246,2-A1MP,5-Methoxymethylone,NPS,,Stimulant,5-Methoxy-Methylone,,,,,,2-a1mp
747,2-AI,2-aminoindan,NPS,,Stimulant,,,,,,,2-ai
1247,2-AIMP,5-Methoxymethylone,NPS,,Stimulant,,,,,,,2-aimp
748,2-APB,2-APB,NPS,,,,,,,1-(1-benzofuran-2-yl)propan-2-amine,,2-apb
754,2-BZP,2-BZP,NPS,Piperazine derivates,Stimulant,,,,,2‐benzylpiperazine,,2-bzp
749,"2-Bromo-1-(4-bromo-2,5-dimethoxyphenyl)-ethanone","2-Bromo-1-(4-bromo-2,5-dimethoxyphenyl)-ethanone",NPS,,,,,,,"2-Bromo-1-(4-bromo-2,5-dimethoxyphenyl)-ethanone",,"2-bromo-1-(4-bromo-2,5-dimethoxyphenyl)-ethanone"
750,"2-Bromo-4,5-MDMA","2-Bromo-4,5-MDMA",NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"1-(6-bromobenzo[d][1,3]dioxol-5-yl)-N-methylpropan-2-amine",,"2-bromo-4,5-mdma"
752,2-Bromo-LSD,2-Bromo-LSD,NPS,,Hallucinogen/dissociative/psychedelic,BOL-148,,,,"2-Bromo-N,N-diethyllysergamide",,2-bromo-lsd
751,2-Bromoamphetamine,2-Bromoamphetamine,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,2-bromo-alpha-methyl-benzeneethanamine,,2-bromoamphetamine
753,2-Bromomethamphetamine,2-Bromomethamphetamine,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,1-(2-bromophenyl)-n-methylpropan-2-amine,,2-bromomethamphetamine
756,2-C,2C not specified,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,2-c
769,2-CEC,2-CEC,NPS,Cathinones,Stimulant,,,,,1-(2-chlorophenyl)-2-(ethylamino)propan-1-one,,2-cec
773,"2-Chloro-4,5-MDMA","2-Chloro-4,5-MDMA",NPS,Amphetamine,Stimulant,6-Cl-MDMA,"2-Cl-4,5-MDMA",,,"1-(6-chloro-1,3-benzodioxol-5-yl)-N-methyl-propan-2-amine",,"2-chloro-4,5-mdma"
796,2-DPMP,2-dpmp,NPS,,Stimulant,Desoxypipradrol,,,,,,2-dpmp
797,2-EAPB,2-EAPB,NPS,,Stimulant,,,,,1-(1-benzofuran-2-yl)-N-ethylpropan-2-amine,,2-eapb
798,2-EEC,2-EEC,NPS,,Stimulant,,,,,2-Ethyl-N-ethylcathinone,,2-eec
799,2-Ethyl-Methcathinone,2-Ethyl-Methcathinone,NPS,,Stimulant,,,,,2-methylamino-1-phenyl-1-pentanone,,2-ethyl-methcathinone
805,2-FA,2-fluoroamphetamine,NPS,,Stimulant,,,,,,,2-fa
802,2-FEA,2-FEA,NPS,Phenethylamines,Stimulant,2-fluoroethamphetamine,,,,ethyl[1‐(2‐fluorophenyl)propan‐2‐yl]amine,,2-fea
803,2-FIBF,2-FIBF,NPS,Opioids,Sedative - opioid,ortho-FIBF,ortho-Fluoroisobutyryl fentanyl,,,N-(2-fluorophenyl)-2-methyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide,,2-fibf
812,2-FMA,2-fma,NPS,,Stimulant,,,,,,,2-fma
813,2-FMC,2-fmc,NPS,,Stimulant,,,,,,,2-fmc
817,2-FPP,2-FPP,NPS,Piperazine derivates,,oFPP,para-Fluorophenylpiperazine,,,1-(2-fluorophenyl)piperazine,,2-fpp
807,2-Fluorodeschloroketamine,2-Fluorodeschloroketamine,NPS,,Hallucinogen/dissociative/psychedelic,,,,,2-Fluorodeschloroketamine,,2-fluorodeschloroketamine
808,2-Fluorofentanyl,2-Fluorofentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(2-fluorophenyl)-N-[1-(2-phenylethyl)-4-piperidinyl]- propanamide,,2-fluorofentanyl
809,2-Fluoroisobutyrfentanyl,2-Fluoroisobutyrfentanyl,NPS,,Sedative - opioid,,,,,N-(2-fluorophenyl)-N-(1-phenethylpiperidin-4-yl)isobutyramide,,2-fluoroisobutyrfentanyl
818,2-Furanylbenzylfentanyl,2-Furanylbenzylfentanyl,NPS,,Sedative - opioid,,,,,2-Furanylbenzylfentanyl ,,2-furanylbenzylfentanyl
820,2-Isopropylfuranylfentanyl,2-Isopropylfuranylfentanyl,NPS,,Sedative - opioid,,,,,N-(2-isopropylphenyl)-N-(1-phenethylpiperidin-4-yl)furan-2-carboxamide,,2-isopropylfuranylfentanyl
821,2-Isovaleryl-1_3-indanedione,2-Isovaleryl-1_3-indanedione,NPS,Others,,,,,,"2-isovalerylindan-1,3-dione",,2-isovaleryl-1_3-indanedione
822,2-MA,2-MA,NPS,,Stimulant,2-methylamphetamine,,,,1-(2-methylphenyl)propan-2-amine,,2-ma
823,2-MABB,2-MABB,NPS,,Empathogens-Entactogens,2-MBPB,,,,1-(1-benzofuran-2-yl)-N-methylbutan-2-amine,,2-mabb
824,2-MAPB,2-MAPB,NPS,Arylalkylamines,Stimulant,,,,,2-(N-methyl-2-aminopropyl)-1-benzofuran,,2-mapb
825,2-MEC,2-MEC,NPS,,Stimulant,2-Methylethcathinone,,,,2-(ethylamino)-1-(2-methylphenyl)propan-1-one,,2-mec
836,2-MMC,2-mmc,NPS,,Stimulant,,,,,,,2-mmc
837,2-MTA,2-MTA,NPS,,Stimulant,,,,,2-Methylthioamphetamine,,2-mta
826,2-Me-DMT,2-Me-DMT,NPS,,Hallucinogen/dissociative/psychedelic,"2,N,N-trimethyltryptamine",,,,"N,N-dimethyl-2-(2-methyl-1H-indol-3-yl)ethanamine",,2-me-dmt
827,2-Me-Fu-F,2-Me-Fu-F,NPS,Opioids,Sedative - opioid,,,,,N-(2-methylphenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]furan-2-carboxamide,,2-me-fu-f
830,2-MeOPP,2-MeOPP,NPS,,Stimulant,oMeOPP,,,,1-(2-Methoxyphenyl)piperazine,,2-meopp
831,2-MePP,2-MePP,NPS,,,oMePP,,,,2-Methylphenylpiperazine,,2-mepp
829,2-Meo-FuF,2-Meo-FuF,NPS,,,,,,,2-Methoxyfuranylfentanyl,,2-meo-fuf
832,2-Methoxyamphetamine,2-Methoxyamphetamine,NPS,Phenethylamines,Stimulant,,,,,(1-(2-methoxyphenyl)propan-2-amine,,2-methoxyamphetamine
833,2-Methylacetylfentanyl,2-Methylacetylfentanyl,NPS,,Sedative - opioid,,,,,N-(1-phenethylpiperidin-4-yl)-N-(o-tolyl)acetamide,,2-methylacetylfentanyl
834,2-Methylfuranylfentanyl,2-Methylfuranylfentanyl,NPS,,Sedative - opioid,,,,,2-Methylfuranylfentanyl,,2-methylfuranylfentanyl
835,2-Methylmethcathinone,2-Methylmethcathinone,NPS,,Stimulant,,,,,1-(2-methylphenyl)-2-(methylamino)propane-1-one,,2-methylmethcathinone
839,2-NMC,2NMC,NPS,,Stimulant,,,,,,,2-nmc
1610,2-Oxo-PCE,eticyclidone,NPS,,Hallucinogen/dissociative/psychedelic,N-ethyl-ketamine,,,,,,2-oxo-pce
840,2-PEA,2-PEA,NPS,,Stimulant,,,,,2-phenethylamine,,2-pea
841,2-Thiofuranylfentanyl,2-Thiofuranylfentanyl,NPS,,Sedative - opioid,,,,,N-(1-phenethylpiperidin-4-yl)-N-phenylthiophene-2-carboxamide,,2-thiofuranylfentanyl
842,2-Thiophen-2-yl-ethylamine,2-Thiophen-2-yl-ethylamine,NPS,,,,,,,2-Thiophen-2-yl-ethylamine,,2-thiophen-2-yl-ethylamine
711,"2-[3-(aminomethyl)-5-methyl-4H-1,2,4-triazol-4-yl]-5-chlorophenyl-(phenyl)methanone","2-[3-(aminomethyl)-5-methyl-4H-1,2,4-triazol-4-yl]-5-chlorophenyl-(phenyl)methanone",NPS,,,,,,,"2-[3-(aminomethyl)-5-methyl-4H-1,2,4-triazol-4-yl]-5-chlorophenyl-(phenyl)methanone",,"2-[3-(aminomethyl)-5-methyl-4h-1,2,4-triazol-4-yl]-5-chlorophenyl-(phenyl)methanone"
819,2-iP-Fu-F,2-iP-Fu-F,NPS,Opioids,Sedative - opioid,,,,,N-[1-(2-phenylethyl)piperidin-4-yl]-N-[2-(propan-2-yl)phenyl]furan-2-carboxamide,,2-ip-fu-f
712,2-{[bis(4-fluorophenyl)methyl]sulfinyl}-N-methylacetamide,2-{[bis(4-fluorophenyl)methyl]sulfinyl}-N-methylacetamide,NPS,,,"5-Chloro-3-ethyl-1H-indole-2-carboxylic acid (1-benzyl-pyrrolidin-3-yl)-amide, 2- enedioic acid salt","methyl (2S)‐2‐{[1‐(2‐fluoropentyl)‐1H‐indazol‐3‐yl]formamido}‐3,3‐dimethylbutanoate",2-(2-methoxyphenyl)-2-(methylamino)cyclohexan-1-one,2-{[bis(4-fluorophenyl)methyl]sulfinyl}-N-methylacetamide,2-{[bis(4-fluorophenyl)methyl]sulfinyl}-N-methylacetamide,,2-{[bis(4-fluorophenyl)methyl]sulfinyl}-n-methylacetamide
738,25 i,25I-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25 i
739,25 i NnBombe,25I-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25 i nnbombe
742,25-I-NBOMe,25I-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25-i-nbome
713,25B-N(BOMe),25B-N(BOMe),NPS,,Hallucinogen/dissociative/psychedelic,,,,,"(2-(4-bromo-2,5-dimethoxyphenyl)-N,N-bis(2-methoxybenzyl) ethanamine",,25b-n(bome)
714,25B-NBF,25B-NBF,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"2-(4-bromo-2,5-dimethoxyphenyl)-N-[(2-fluorophenyl)methyl] ethanamine",,25b-nbf
715,25B-NBOH,25b-nboh,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25b-nboh
716,25B-NBOMe,25b-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25b-nbome
717,25C-NB3OMe,25C-NB3OMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"[2-(4-chloro-2,5-dimethoxyphenyl)ethyl][(3-methoxyphenyl)methyl]amine",,25c-nb3ome
718,25C-NB4OMe,25C-NB4OMe,NPS,,Hallucinogen/dissociative/psychedelic,2C-C-NB4OMe,,,,,,25c-nb4ome
719,25C-NBF,25C-NBF,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-(4-chloro-2,5-dimethoxyphenyl)-N-[(2-fluorophenyl)methyl]ethanamine",,25c-nbf
720,25C-NBOH,25C-NBOH,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,NBOH-2CC,2C-C-NBOH,,,"2-[[2-(4-chloro-2,5-dimethoxy-phenyl)ethylamino]methyl]phenol",,25c-nboh
764,25C-NBOMe,25c-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25c-nbome
722,25D-NBOMe,25d-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25d-nbome
723,25E-NBOH,25E-NBOH,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-({[2-(4-ethyl-2,5-dimethoxyphenyl)ethyl]amino}methyl)phenol",,25e-nboh
724,25E-NBOMe,25e-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25e-nbome
725,25F-NBOMe,25F-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,2C-F-NBOMe,,,,,,25f-nbome
726,25G-NBOMe,25G-NBOMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,2C-G-NBOMe,,,,"2-(2,5-dimethoxyphenyl-3,4-dimethyl)- N-[(2-methoxyphenyl)methyl]ethanamine)",,25g-nbome
727,25H-NB4OMe,25H-NB4OMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"[2-(2,5-dimethoxyphenyl)ethyl][(4-methoxyphenyl)methyl]amine",,25h-nb4ome
728,25H-NBMD,25H-NBMD,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"[(2H-1,3-benzodioxol-4-yl)methyl][2-(2,5-dimethoxyphenyl)ethyl]amine",,25h-nbmd
729,25H-NBOH,25H-NBOH,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,,"2-({[2-(2,5-dimethoxyphenyl)ethyl]amino}methyl)phenol",,25h-nboh
730,25H-NBOMe,25h-NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25h-nbome
731,"25H-NBOMe-(3,4,5-trimethoxybenzyl analogue)","25H-NBOMe-(3,4,5-trimethoxybenzyl analogue)",NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,"25h-nbome-(3,4,5-trimethoxybenzyl analogue)"
732,25I-DMBD,25I-DMBD,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,25i-dmbd
733,25I-NB34MD,25I-NB34MD,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"(2-(4-iodo-2,5-dimethoxyphenyl)-N-[(3,4-methylenedioxyphenyl) methyl]ethanamine)",,25i-nb34md
734,25I-NB4OMe,25I-NB4OMe,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,2C-I-NB4OMe,,,,"2-(4-iodo-2,5-dimethoxyphenyl)-N-(4-methoxybenzyl)ethanamine",,25i-nb4ome
735,25I-NBF,25I-NBF,NPS,Phenethylamines,Hallucinogen/dissociative/psychedelic,,,,," 2-(4-iodo-2,5-dimethoxyphenyl)-N-[(2-fluorophenyl)methyl]ethanamine",,25i-nbf
